date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:14:12	24/24	---M--	200	added ('OK')	text/plain	date:Fri,%2001%20Apr%202022%2018:16:22%20GMT	https://gencapitals.com/robots.txt		(from )
11:14:12	41134/41134	---MC-	200	added ('OK')	text/html	date:Sat,%2003%20Jun%202023%2010:14:12%20GMT	https://gencapitals.com/	/home/joestack/websites/gencapital%20clone/gencapitals.com/index.html	(from )
11:14:13	1552/1552	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2003%20Jun%202023%2010:14:12%20GMT	https://gencapitals.com/apple-touch-icon.html	/home/joestack/websites/gencapital%20clone/gencapitals.com/apple-touch-icon.html	(from https://gencapitals.com/)
11:14:13	22257/22257	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Dec%202022%2023:13:44%20GMT	https://gencapitals.com/assets2/images/icon.png	/home/joestack/websites/gencapital%20clone/gencapitals.com/assets2/images/icon.png	(from https://gencapitals.com/)
11:14:14	2232/2232	---M--	200	added ('OK')	text/css	date:Thu,%2012%20Jan%202023%2012:15:32%20GMT	https://gencapitals.com/assets2/css/custom.css	/home/joestack/websites/gencapital%20clone/gencapitals.com/assets2/css/custom.css	(from https://gencapitals.com/)
11:14:16	144877/144877	---M--	200	added ('OK')	text/css	date:Thu,%2018%20Jan%202018%2023:29:48%20GMT	https://gencapitals.com/assets2/css/bootstrap.min.css	/home/joestack/websites/gencapital%20clone/gencapitals.com/assets2/css/bootstrap.min.css	(from https://gencapitals.com/)
11:14:17	6177/6177	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Jul%202021%2008:24:48%20GMT	https://gencapitals.com/assets2/css/back-menus.css	/home/joestack/websites/gencapital%20clone/gencapitals.com/assets2/css/back-menus.css	(from https://gencapitals.com/)
11:14:17	57095/57095	---M--	200	added ('OK')	text/css	date:Fri,%2026%20Feb%202021%2010:27:44%20GMT	https://gencapitals.com/assets2/css/animate.css	/home/joestack/websites/gencapital%20clone/gencapitals.com/assets2/css/animate.css	(from https://gencapitals.com/)
11:14:18	4029/4029	---M--	200	added ('OK')	text/css	date:Thu,%2031%20Jan%202019%2004:16:18%20GMT	https://gencapitals.com/assets2/css/owl.carousel.css	/home/joestack/websites/gencapital%20clone/gencapitals.com/assets2/css/owl.carousel.css	(from https://gencapitals.com/)
11:14:19	25211/25211	---M--	200	added ('OK')	text/css	date:Fri,%2021%20May%202021%2008:47:18%20GMT	https://gencapitals.com/assets2/fonts/elegant-icon.css	/home/joestack/websites/gencapital%20clone/gencapitals.com/assets2/fonts/elegant-icon.css	(from https://gencapitals.com/)
11:14:20	5151/5151	---M--	200	added ('OK')	text/css	date:Thu,%2027%20Feb%202020%2005:56:12%20GMT	https://gencapitals.com/assets2/fonts/flaticon.css	/home/joestack/websites/gencapital%20clone/gencapitals.com/assets2/fonts/flaticon.css	(from https://gencapitals.com/)
11:14:21	6951/6951	---M--	200	added ('OK')	text/css	date:Wed,%2021%20Mar%202018%2005:54:26%20GMT	https://gencapitals.com/assets2/css/magnific-popup.css	/home/joestack/websites/gencapital%20clone/gencapitals.com/assets2/css/magnific-popup.css	(from https://gencapitals.com/)
11:14:22	11781/11781	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Feb%202020%2007:07:08%20GMT	https://gencapitals.com/assets2/css/back-animations.css	/home/joestack/websites/gencapital%20clone/gencapitals.com/assets2/css/back-animations.css	(from https://gencapitals.com/)
